character,pinyin,grade,unit,tts_hint,common_words,image_path
衣,yī,1,1,衣服的衣,"衣服,上衣,内衣",/static/images/衣.png
服,fú,1,1,衣服的服,"衣服,服装,佩服",/static/images/服.png
快,kuài,1,1,快乐的快,"快乐,快速,快活",/static/images/快.png
蓝,lán,1,1,蓝天的蓝,"蓝天,蓝色,蓝球",/static/images/蓝.png
又,yòu,1,1,又来的又,"又,又来,又一次",/static/images/又.png
笑,xiào,1,1,笑容的笑,"笑,笑容,笑话",/static/images/笑.png
着,zhe,1,1,着迷的着,"着迷,着急,着装",/static/images/着.png
向,xiàng,1,1,方向的向,"方向,向上,向导",/static/images/向.png
和,hé,1,1,和平的和,"和平,和气,和声",/static/images/和.png
贝,bèi,1,1,贝壳的贝,"贝壳,宝贝,贝类",/static/images/贝.png
娃,wá,1,1,娃娃鱼的娃,"娃娃,娃娃鱼",/static/images/娃.png
挂,guà,1,1,挂科的挂,"挂,挂科,挂念",/static/images/挂.png
活,huó,1,1,活动的活,"活,活动,活着",/static/images/活.png
金,jīn,1,1,金子的金,"金子,金钱,金鱼",/static/images/金.png
群,qún,1,1,一群的群,"一群,群众,群英",/static/images/群.png
竹,zhú,1,1,竹子的竹,"竹子,竹林,竹叶",/static/images/竹.png
牙,yá,1,1,牙齿的牙,"牙齿,牙齿痛,门牙",/static/images/牙.png
用,yòng,1,1,用心的用,"用心,用途,用功",/static/images/用.png
几,jǐ,1,1,几个的几,"几个,几个字,几个苹果",/static/images/几.png
步,bù,1,1,步伐的步,"步,步伐,脚步",/static/images/步.png
为,wèi,1,1,为了的为,"为了,为难,为所欲为",/static/images/为.png
参,cān,1,1,参加的参,"参加,参与,参考",/static/images/参.png
加,jiā,1,1,加快的加,"加,加快,加法",/static/images/加.png
洞,dòng,1,1,洞穴的洞,"洞,洞穴,破洞",/static/images/洞.png
乌,wū,1,1,乌鸦的乌,"乌鸦,乌云,乌黑",/static/images/乌.png
鸦,yā,1,1,乌鸦的鸦,"鸦,乌鸦,鸦雀无声",/static/images/鸦.png
处,chù,1,1,处理的处,"处理,到处,相处",/static/images/处.png
找,zhǎo,1,1,寻找的找,"找,寻找,找到",/static/images/找.png
办,bàn,1,1,办法的办,"办法,办公,办法",/static/images/办.png
旁,páng,1,1,旁边的旁,"旁边,旁听,旁白",/static/images/旁.png
许,xǔ,1,1,许多的许,"许,许多,许愿",/static/images/许.png
法,fǎ,1,1,法律的法,"法律,办法,法则",/static/images/法.png
放,fàng,1,1,放学的放,"放学,放松,放开",/static/images/放.png
进,jìn,1,1,前进的进,"前进,进入,进步",/static/images/进.png
高,gāo,1,1,高兴的高,"高,高兴,高楼",/static/images/高.png
住,zhù,1,1,住宅的住,"住,住宅,住所",/static/images/住.png
孩,hái,1,1,孩子的孩,"孩子,小孩,孩童",/static/images/孩.png
玩,wán,1,1,玩具的玩,"玩耍,玩具",/static/images/玩.png
吧,ba,1,1,吧台的吧,"吧台,吧唧,吧嗒",/static/images/吧.png
发,fā,1,1,头发的发,"头发,发现,发生",/static/images/发.png
芽,yá,1,1,发芽的芽,"发芽,嫩芽,芽苗",/static/images/芽.png
爬,pá,1,1,爬山的爬,"爬山,爬行,爬梯",/static/images/爬.png
呀,ya,1,1,哎呀的呀,"呀呀,哎呀,好呀",/static/images/呀.png
久,jiǔ,1,1,久远的久,"久远,长久,久坐",/static/images/久.png
回,huí,1,1,回家的回,"回家,回声,回信",/static/images/回.png
全,quán,1,1,全面的全,"全面,全部,全面性",/static/images/全.png
变,biàn,1,1,变化的变,"变化,变成,变换",/static/images/变.png
哥,gē,1,1,哥哥们的哥,"哥哥,哥哥们,哥哥俩",/static/images/哥.png
姐,jiě,1,1,姐妹的姐,"姐姐,姐妹,姐夫",/static/images/姐.png
弟,dì,1,1,兄弟的弟,"弟弟,兄弟,弟弟兵",/static/images/弟.png
叔,shū,1,1,大叔的叔,"叔叔,大叔,伯叔",/static/images/叔.png
爷,yé,1,1,爷爷家的爷,"爷爷,爷爷家,爷爷辈",/static/images/爷.png
工,gōng,1,1,工作的工,"工作,工人,工厂",/static/images/工.png
厂,chǎng,1,1,工厂的厂,"工厂,厂家,工厂化",/static/images/厂.png
医,yī,1,1,医生的医,"医生,医院,医治",/static/images/医.png
院,yuàn,1,1,院子的院,"院子,庭院,院落",/static/images/院.png
生,shēng,1,1,生活的生,"生活,学生,生日",/static/images/生.png
霜,shuāng,1,1,霜冻的霜,"霜,霜冻,霜花",/static/images/霜.png
吹,chuī,1,1,吹牛的吹,"吹,吹牛,吹灭",/static/images/吹.png
落,luò,1,1,落叶的落,"落叶,落下,落款",/static/images/落.png
降,jiàng,1,1,降温的降,"降温,降落,下降",/static/images/降.png
飘,piāo,1,1,飘动的飘,"飘动,飘扬,飘散",/static/images/飘.png
游,yóu,1,1,游戏的游,"游戏,游泳,游览",/static/images/游.png
池,chí,1,1,池塘的池,"池塘,水池,泳池",/static/images/池.png
入,rù,1,1,入口的入,"入口,进入,出入",/static/images/入.png
姓,xìng,1,1,姓名的姓,"姓,姓名,姓氏族",/static/images/姓.png
氏,shì,1,1,氏族的氏,"氏族,姓氏,氏族公社",/static/images/氏.png
李,lǐ,1,1,李子的李,"李子,姓李,李树",/static/images/李.png
张,zhāng,1,1,张开的张,"张开,张扬,张嘴",/static/images/张.png
古,gǔ,1,1,古董的古,"古董,古代,古诗",/static/images/古.png
吴,wú,1,1,吴国的吴,"吴国,吴用,吴语",/static/images/吴.png
赵,zhào,1,1,赵国的赵,"赵,赵国,赵州",/static/images/赵.png
钱,qián,1,1,金钱的钱,"钱,金钱,钱包",/static/images/钱.png
孙,sūn,1,1,孙子的孙,"孙子,子孙,孙辈",/static/images/孙.png
周,zhōu,1,1,周围的周,"周围,四周,周期",/static/images/周.png
王,wáng,1,1,国王的王,"国王,王者,王冠",/static/images/王.png
官,guān,1,1,官员的官,"官员,官职,官方",/static/images/官.png
清,qīng,1,1,清水的清,"清水,清洁,清风",/static/images/清.png
晴,qíng,1,1,晴天的晴,"晴天,晴朗,晴空",/static/images/晴.png
眼,yǎn,1,1,眼睛的眼,"眼睛,眼神,眼镜",/static/images/眼.png
睛,jīng,1,1,眼睛的睛,"眼睛,睛明,睛彩",/static/images/睛.png
保,bǎo,1,1,保护的保,"保护,保养,保留",/static/images/保.png
护,hù,1,1,保护的护,"保护,爱护,护身",/static/images/护.png
害,hài,1,1,害处的害,"害处,害虫,害群之马",/static/images/害.png
事,shì,1,1,事情的事,"事情,事务,事事",/static/images/事.png
情,qíng,1,1,情感的情,"情感,心情,感情",/static/images/情.png
请,qǐng,1,1,请客的请,"请客,请求,请坐",/static/images/请.png
让,ràng,1,1,让路的让,"让路,让步,让座",/static/images/让.png
病,bìng,1,1,生病的病,"生病,病人,病痛",/static/images/病.png
相,xiāng,1,1,照相的相,"照相,相信,相互",/static/images/相.png
遇,yù,1,1,遇到的遇,"遇到,遇见,遭遇",/static/images/遇.png
喜,xǐ,1,1,喜欢的喜,"喜欢,喜事,喜庆",/static/images/喜.png
欢,huān,1,1,欢乐的欢,"欢乐,欢腾,欢欣",/static/images/欢.png
怕,pà,1,1,害怕的怕,"害怕,可怕,可怕",/static/images/怕.png
言,yán,1,1,语言的言,"言论,语言",/static/images/言.png
互,hù,1,1,互相的互,"互相,互助,互敬",/static/images/互.png
令,lìng,1,1,命令的令,"命令,令牌,令箭",/static/images/令.png
动,dòng,1,1,活动的动,"活动,感动,运动",/static/images/动.png
万,wàn,1,1,万岁的万,"万岁,万物,万一",/static/images/万.png
纯,chún,1,1,纯洁的纯,"纯洁,纯粹,纯真",/static/images/纯.png
净,jìng,1,1,干净的净,"干净,净水,净身",/static/images/净.png
阴,yīn,1,1,阴凉的阴,"阴凉,阴森,阴沉",/static/images/阴.png
雷,léi,1,1,雷雨的雷,"雷雨,雷电,雷鸣",/static/images/雷.png
电,diàn,1,1,电视的电,"电,电视,电池",/static/images/电.png
阵,zhèn,1,1,阵地的阵,"阵地,阵线,阵雨",/static/images/阵.png
冰,bīng,1,1,冰雪的冰,"冰,冰雪,冰块",/static/images/冰.png
冻,dòng,1,1,冻水的冻,"冻水,冰冻,冷冻",/static/images/冻.png
夹,jiā,1,1,夹子的夹,"夹子,夹具,夹住",/static/images/夹.png
吃,chī,1,1,吃饭的吃,"吃饭,吃力,吃苦",/static/images/吃.png
忘,wàng,1,1,忘记的忘,"忘记,难忘,忘却",/static/images/忘.png
井,jǐng,1,1,水井的井,"井,水井,井口",/static/images/井.png
村,cūn,1,1,村子的村,"村子,村庄,村落",/static/images/村.png
叫,jiào,1,1,叫声的叫,"叫,叫声,叫喊",/static/images/叫.png
毛,máo,1,1,毛笔的毛,"毛笔,毛巾,毛线",/static/images/毛.png
主,zhǔ,1,1,主人的主,"主人,主要,主食",/static/images/主.png
席,xí,1,1,席子的席,"席子,主席,席位",/static/images/席.png
乡,xiāng,1,1,乡村的乡,"乡村,家乡,故乡",/static/images/乡.png
亲,qīn,1,1,亲人的亲,"亲人,亲密,亲情",/static/images/亲.png
战,zhàn,1,1,战斗的战,"战斗,战士,战争",/static/images/战.png
士,shì,1,1,士兵的士,"士兵,学士,士气",/static/images/士.png
面,miàn,1,1,面条的面,"面条,面子,表面",/static/images/面.png
想,xiǎng,1,1,想法的想,"想法,想念,想象",/static/images/想.png
告,gào,1,1,告诉的告,"告诉,告诉书,告诉声",/static/images/告.png
诉,sù,1,1,诉苦的诉,"诉苦,告诉,诉讼",/static/images/诉.png
京,jīng,1,1,北京的京,"北京,京城,京都",/static/images/京.png
安,ān,1,1,安全的安,"安全,安静,安心",/static/images/安.png
门,mén,1,1,家门的门,"门,家门,门口",/static/images/门.png
广,guǎng,1,1,广场的广,"广场,广播,广大",/static/images/广.png
非,fēi,1,1,非常的非,"非常,非凡,非常人",/static/images/非.png
常,cháng,1,1,经常的常,"常常,经常,常态",/static/images/常.png
壮,zhuàng,1,1,壮丽的壮,"壮丽,强壮,壮士",/static/images/壮.png
观,guān,1,1,观看的观,"观看,观众,观察",/static/images/观.png
接,jiē,1,1,接球的接,"接球,接待,接力",/static/images/接.png
再,zài,1,1,再见的再,"再见,再次,再会",/static/images/再.png
